# T Susceptibilidad
1.362000000000000099e+00,1.391953381749830472e-02
1.481473684210526498e+00,2.476383413182446300e-02
1.600947368421052674e+00,4.340495372975484989e-02
1.720421052631579073e+00,7.622174214419585869e-02
1.839894736842105250e+00,1.416184663849268943e-01
1.959368421052631648e+00,2.872966826401144869e-01
2.078842105263158047e+00,7.716445956370140413e-01
2.198315789473684223e+00,4.269370347427068779e+00
2.317789473684210400e+00,1.780900785532604758e+01
2.437263157894737020e+00,1.200881040854221737e+01
2.556736842105263197e+00,5.874488730637793310e+00
2.676210526315789373e+00,3.495215532727981689e+00
2.795684210526315994e+00,2.295378072079979681e+00
2.915157894736842614e+00,1.679023659115183476e+00
3.034631578947368347e+00,1.284048335291354315e+00
3.154105263157894967e+00,1.033098725551935271e+00
3.273578947368421144e+00,8.559817264891065314e-01
3.393052631578947764e+00,7.274456896777594661e-01
3.512526315789473941e+00,6.261568702995586877e-01
3.632000000000000117e+00,5.410072916608659188e-01
