# T Magnetizacion Magnetization_Absoluta Magnetization_cuadrada Susceptibilidad Energia Energia_cuadrada Capacidad_calorifica
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.500000000000000000e+01,5.625000000000000000e+03,0.000000000000000000e+00
6.444444444444444864e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.500000000000000000e+01,5.625000000000000000e+03,0.000000000000000000e+00
1.188888888888889106e+00,9.993599999999999151e-01,9.993599999999999151e-01,9.987711999999999701e-01,1.068022429908883734e-03,-7.492000000000000171e+01,5.613800000000000182e+03,2.245841558214603864e-02
1.733333333333333615e+00,9.928799999999987635e-01,9.928799999999987635e-01,9.864320000000007527e-01,8.961138461584248691e-03,-7.412199999999999989e+01,5.503287999999999556e+03,1.227130828402340779e-01
2.277777777777778123e+00,9.694399999999976369e-01,9.694399999999976369e-01,9.430400000000020988e-01,3.540826536592670687e-02,-7.141599999999999682e+01,5.140912000000000262e+03,3.135298002617528668e-01
2.822222222222222410e+00,9.114399999999955870e-01,9.114399999999955870e-01,8.414720000000024402e-01,9.521863937017145674e-02,-6.525799999999999557e+01,4.366087999999999738e+03,5.397728511377024585e-01
3.366666666666667140e+00,8.169599999999958007e-01,8.181599999999957795e-01,6.967168000000022454e-01,2.175234534654142404e-01,-5.634400000000000119e+01,3.383079999999999927e+03,7.355761105773928055e-01
3.911111111111111871e+00,7.014399999999968438e-01,7.034399999999967346e-01,5.373056000000030474e-01,2.894799272727751061e-01,-4.662400000000000233e+01,2.428023999999999887e+03,6.647842376033040734e-01
4.455555555555555713e+00,5.910399999999991216e-01,5.987999999999993328e-01,4.119424000000020403e-01,3.513261007481469633e-01,-3.792799999999999727e+01,1.734968000000000075e+03,5.972903177467803193e-01
5.000000000000000000e+00,4.761599999999993615e-01,4.901599999999997626e-01,2.967040000000003008e-01,3.498782720000045976e-01,-3.017200000000000060e+01,1.190824000000000069e+03,4.487590656000000622e-01
