# Magnetizacion Magnetization_Absoluta Magnetization_cuadrada Energia Energia_cuadrada
-2.524444444444444435e-02,2.524444444444444435e-02,6.372819753086419667e-04,-2.610000000000000000e+04,6.812100000000000000e+08
-7.626666666666666317e-02,7.626666666666666317e-02,5.816604444444444313e-03,-2.824400000000000000e+04,7.977235360000000000e+08
-1.142222222222222250e-01,1.142222222222222250e-01,1.304671604938271653e-02,-2.875600000000000000e+04,8.269075360000000000e+08
-9.084444444444444988e-02,9.084444444444444988e-02,8.252713086419753361e-03,-2.925200000000000000e+04,8.556795040000000000e+08
-7.182222222222221786e-02,7.182222222222221786e-02,5.158431604938271131e-03,-2.837200000000000000e+04,8.049703840000000000e+08
-6.160000000000000198e-02,6.160000000000000198e-02,3.794560000000000207e-03,-2.978000000000000000e+04,8.868484000000000000e+08
-6.275555555555555054e-02,6.275555555555555054e-02,3.938259753086419124e-03,-2.939600000000000000e+04,8.641248160000000000e+08
-7.404444444444444051e-02,7.404444444444444051e-02,5.482579753086419191e-03,-2.950800000000000000e+04,8.707220640000000000e+08
-5.724444444444444502e-02,5.724444444444444502e-02,3.276926419753086340e-03,-2.984400000000000000e+04,8.906643360000000000e+08
-6.435555555555555474e-02,6.435555555555555474e-02,4.141637530864197315e-03,-3.030000000000000000e+04,9.180900000000000000e+08
-6.551111111111111718e-02,6.551111111111111718e-02,4.291705679012346175e-03,-3.064400000000000000e+04,9.390547360000000000e+08
-7.164444444444444116e-02,7.164444444444444116e-02,5.132926419753085917e-03,-3.061200000000000000e+04,9.370945440000000000e+08
-7.066666666666666929e-02,7.066666666666666929e-02,4.993777777777778405e-03,-2.989600000000000000e+04,8.937708160000000000e+08
-5.057777777777777706e-02,5.057777777777777706e-02,2.558111604938271416e-03,-2.987200000000000000e+04,8.923363840000000000e+08
-5.502222222222222237e-02,5.502222222222222237e-02,3.027444938271604737e-03,-3.066400000000000000e+04,9.402808960000000000e+08
-6.106666666666666493e-02,6.106666666666666493e-02,3.729137777777777503e-03,-3.091600000000000000e+04,9.557990560000000000e+08
-6.808888888888889324e-02,6.808888888888889324e-02,4.636096790123457254e-03,-3.043200000000000000e+04,9.261066240000000000e+08
-7.795555555555555571e-02,7.795555555555555571e-02,6.077068641975308556e-03,-3.024800000000000000e+04,9.149415040000000000e+08
-8.808888888888888324e-02,8.808888888888888324e-02,7.759652345679011153e-03,-3.046000000000000000e+04,9.278116000000000000e+08
-9.288888888888888196e-02,9.288888888888888196e-02,8.628345679012343686e-03,-3.128000000000000000e+04,9.784384000000000000e+08
-7.964444444444444826e-02,7.964444444444444826e-02,6.343237530864197921e-03,-3.043200000000000000e+04,9.261066240000000000e+08
-7.439999999999999392e-02,7.439999999999999392e-02,5.535359999999998719e-03,-3.154000000000000000e+04,9.947716000000000000e+08
-7.964444444444444826e-02,7.964444444444444826e-02,6.343237530864197921e-03,-3.164400000000000000e+04,1.001342736000000000e+09
-7.608888888888888646e-02,7.608888888888888646e-02,5.789519012345678214e-03,-3.114000000000000000e+04,9.696996000000000000e+08
-9.128888888888889164e-02,9.128888888888889164e-02,8.333661234567902448e-03,-3.091200000000000000e+04,9.555517440000000000e+08
-5.591111111111111281e-02,5.591111111111111281e-02,3.126052345679012582e-03,-3.090000000000000000e+04,9.548100000000000000e+08
-3.351111111111110957e-02,3.351111111111110957e-02,1.122994567901234491e-03,-3.113600000000000000e+04,9.694504960000000000e+08
-2.906666666666666773e-02,2.906666666666666773e-02,8.448711111111111656e-04,-3.080800000000000000e+04,9.491328640000000000e+08
-5.244444444444444631e-02,5.244444444444444631e-02,2.750419753086420088e-03,-3.090000000000000000e+04,9.548100000000000000e+08
-3.511111111111111377e-02,3.511111111111111377e-02,1.232790123456790248e-03,-3.129200000000000000e+04,9.791892640000000000e+08
-5.146666666666666751e-02,5.146666666666666751e-02,2.648817777777777872e-03,-3.065600000000000000e+04,9.397903360000000000e+08
-4.115555555555555634e-02,4.115555555555555634e-02,1.693779753086419905e-03,-3.112400000000000000e+04,9.687033760000000000e+08
-3.760000000000000148e-02,3.760000000000000148e-02,1.413760000000000017e-03,-3.100400000000000000e+04,9.612480160000000000e+08
-6.462222222222221979e-02,6.462222222222221979e-02,4.176031604938271538e-03,-3.091600000000000000e+04,9.557990560000000000e+08
-4.231111111111111184e-02,4.231111111111111184e-02,1.790230123456790223e-03,-3.070000000000000000e+04,9.424900000000000000e+08
-5.271111111111111136e-02,5.271111111111111136e-02,2.778461234567901426e-03,-3.088000000000000000e+04,9.535744000000000000e+08
-3.502222222222222542e-02,3.502222222222222542e-02,1.226556049382716189e-03,-3.051600000000000000e+04,9.312262560000000000e+08
-3.679999999999999938e-02,3.679999999999999938e-02,1.354240000000000044e-03,-3.102000000000000000e+04,9.622404000000000000e+08
-5.271111111111111136e-02,5.271111111111111136e-02,2.778461234567901426e-03,-3.016800000000000000e+04,9.101082240000000000e+08
-7.422222222222221721e-02,7.422222222222221721e-02,5.508938271604937875e-03,-3.056000000000000000e+04,9.339136000000000000e+08
-6.968888888888888355e-02,6.968888888888888355e-02,4.856541234567900503e-03,-3.069600000000000000e+04,9.422444160000000000e+08
-6.177777777777777868e-02,6.177777777777777868e-02,3.816493827160493974e-03,-3.084400000000000000e+04,9.513523360000000000e+08
-3.173333333333333561e-02,3.173333333333333561e-02,1.007004444444444501e-03,-3.020000000000000000e+04,9.120400000000000000e+08
-3.697777777777777608e-02,3.697777777777777608e-02,1.367356049382715925e-03,-3.073200000000000000e+04,9.444558240000000000e+08
