# T Magnetizacion Magnetization_Absoluta Magnetization_cuadrada Susceptibilidad Energia Energia_cuadrada Capacidad_calorifica
1.702499999999999902e+00,9.698359999929355713e-01,9.698359999929355713e-01,9.417639671954339819e-01,6.943320488321307049e-02,-1.897417839999999956e+02,3.610128169599999819e+04,3.427182552990702957e-01
1.770789473684210469e+00,9.610320599930276542e-01,9.610320599930276542e-01,9.253538675956277659e-01,1.000258521697856423e-01,-1.871431240000000003e+02,3.515141374399999768e+04,4.109611066174012062e-01
1.839078947368421035e+00,9.503745599935278232e-01,9.503745599935278232e-01,9.058071439959936022e-01,1.411217129539612813e-01,-1.841335359999999923e+02,3.406832924800000183e+04,4.824363413815820900e-01
1.907368421052631380e+00,9.365426399943466151e-01,9.365426399943466151e-01,8.811854343965536129e-01,2.135569522916437868e-01,-1.805335959999999886e+02,3.280073672000000079e+04,5.727166735078101922e-01
1.975657894736841946e+00,9.186059399955867066e-01,9.186059399955867066e-01,8.502263875972296825e-01,3.234119945095739745e-01,-1.762337039999999888e+02,3.132447977600000013e+04,6.819012756113569385e-01
2.043947368421052513e+00,8.957214799967941898e-01,8.957214799967941898e-01,8.125111383977742241e-01,4.987490787496102196e-01,-1.712369160000000079e+02,2.965723102400000062e+04,8.022307742750627302e-01
2.112236842105263079e+00,8.649712599979795247e-01,8.649712599979795247e-01,7.646552227981291416e-01,7.802127984478923750e-01,-1.652564199999999914e+02,2.773394791999999870e+04,9.509343030351680159e-01
2.180526315789473646e+00,8.244324999989847136e-01,8.244324999989847136e-01,7.051518419982978347e-01,1.167740777047347134e+00,-1.581858880000000056e+02,2.554755635199999961e+04,1.103711569559704175e+00
2.248815789473684212e+00,7.739379799996733977e-01,7.739379799996733977e-01,6.357177723982626594e-01,1.633649838472808202e+00,-1.501994960000000106e+02,2.318178444799999852e+04,1.229730357984563982e+00
2.317105263157894779e+00,7.132821000000796330e-01,7.132821000000796330e-01,5.575493411982442860e-01,2.105126072315034680e+00,-1.414758160000000089e+02,2.071390611200000058e+04,1.300992023400184605e+00
2.385394736842105345e+00,6.471734600002324589e-01,6.471734600002324589e-01,4.775851267985451454e-01,2.462973467764533186e+00,-1.325571199999999976e+02,1.830928217600000062e+04,1.296798069122357289e+00
2.453684210526315468e+00,5.785566000001531872e-01,5.785566000001531872e-01,3.992961839988793948e-01,2.631489590964609881e+00,-1.237191320000000019e+02,1.603846606400000019e+04,1.215902983610259058e+00
2.521973684210526478e+00,5.180851399999247819e-01,5.180851399999247819e-01,3.339663779990308945e-01,2.599319973904095527e+00,-1.160288840000000050e+02,1.415599425599999995e+04,1.090022083614982762e+00
2.590263157894736601e+00,4.647761999998274995e-01,4.647761999998274995e-01,2.790319023990835978e-01,2.432763872687747408e+00,-1.090977479999999957e+02,1.254141803199999958e+04,9.525343409628795888e-01
2.658552631578947612e+00,4.173661399997580790e-01,4.173661399997580790e-01,2.332843915991000550e-01,2.222634078367226707e+00,-1.030736359999999934e+02,1.120895771199999945e+04,8.273788542763041987e-01
2.726842105263157734e+00,3.777736399997897454e-01,3.777736399997897454e-01,1.964677903991516039e-01,1.971323063286540167e+00,-9.776400800000000402e+01,1.008907513599999947e+04,7.144938225807407894e-01
2.795131578947368300e+00,3.473451199998133787e-01,3.473451199998133787e-01,1.696918151992264923e-01,1.754592992363212645e+00,-9.336386400000000663e+01,9.206021984000000884e+03,6.261690477490040596e-01
2.863421052631578867e+00,3.179526199997970703e-01,3.179526199997970703e-01,1.451069987993100496e-01,1.537082022712837226e+00,-8.920712000000000330e+01,8.406124352000000727e+03,5.466572102226238128e-01
2.931710526315789433e+00,2.961929599998290863e-01,2.961929599998290863e-01,1.276463095993869423e-01,1.361527329783412510e+00,-8.565833999999999548e+01,7.756898608000000422e+03,4.881337741160678978e-01
3.000000000000000000e+00,2.781120399998487369e-01,2.781120399998487369e-01,1.137769767994278869e-01,1.214355666885013951e+00,-8.258764800000000150e+01,7.217307968000000074e+03,4.406537398089949154e-01
